lambda,RMSE,MSE,Type
0,1.702,2.896804,inexperienced
0.05,1.68,2.8224,inexperienced
0.1,1.66,2.7556,inexperienced
0.15,1.641,2.692881,inexperienced
0.2,1.623,2.634129,inexperienced
0.25,1.606,2.579236,inexperienced
0.3,1.591,2.531281,inexperienced
0.35,1.576,2.483776,inexperienced
0.4,1.562,2.439844,inexperienced
0.45,1.548,2.396304,inexperienced
0.5,1.535,2.356225,inexperienced
0.55,1.523,2.319529,inexperienced
0.6,1.512,2.286144,inexperienced
0.65,1.5,2.25,inexperienced
0.7,1.49,2.2201,inexperienced
0.75,1.48,2.1904,inexperienced
0.8,1.471,2.163841,inexperienced
0.85,1.462,2.137444,inexperienced
0.9,1.455,2.117025,inexperienced
0.95,1.448,2.096704,inexperienced
1,1.444,2.085136,inexperienced
